TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0001101"	"response to acid chemical"	-1.941194513324093	4.813867755049314	0.18493936820927975	0.8950501498815121	0.4075227	-2.831245574479337	-6.507438454471669	null
"GO:0002181"	"cytoplasmic translation"	-0.9704944745734231	5.133145949606376	0.3857545300237035	0.8501049393856954	0.55121862	-1.7263641949478954	5.498895692096066	null
"GO:0002252"	"immune effector process"	-0.8316793344811346	4.6472753613043984	0.1260183702691583	1	-0	6.363383185764999	3.086918552530543	null
"GO:0002376"	"immune system process"	-1.118501220385017	5.68018951515756	1.3594301248748135	1	-0	-7.123935821815725	-0.9295360134743051	null
"GO:0006091"	"generation of precursor metabolites and energy"	-0.8818014319549632	5.946414434547462	2.509471250902382	0.9720581878793042	0.06210659	3.371658099644081	5.770567876873404	null
"GO:0006413"	"translational initiation"	-1.9601894458516496	5.267795724946364	0.5259708337369472	0.8470098384463001	-0	-2.2439257097736736	5.310356900638582	null
"GO:0006412"	"translation"	-1.5431786519784014	6.193484968897032	4.43254315109974	0.829269785887347	0.71212672	null	null	6413
"GO:0009415"	"response to water"	-2.8210230527068307	4.216825423266047	0.04676999711214999	0.9014562257691896	0	-2.198244354218516	-6.946675351121283	null
"GO:0009628"	"response to abiotic stimulus"	-1.0511959540671887	5.586934826200233	1.0967357074420563	0.9097324563114476	0.22601725	-4.297160307194102	-5.62124768117987	null
"GO:0009719"	"response to endogenous stimulus"	-1.0207704069778447	5.581887108185635	1.0840623271392376	0.9097873518754079	0.30462756	-3.5776768828393406	-5.025017458761415	null
"GO:0022607"	"cellular component assembly"	-1.1404414273739465	6.213088297091994	4.637205183503392	0.7363540936987638	0.54528732	5.043384744552071	-3.9332791694461937	null
"GO:0042274"	"ribosomal small subunit biogenesis"	-0.8125356847070805	5.290288432411474	0.5539294917168217	0.7865426217434655	0.58714219	4.667973573143097	-4.589722984260571	null
"GO:0043933"	"protein-containing complex organization"	-1.6507224725320446	6.010749286763754	2.910161859280281	0.7838392160133563	0.0040282	5.059838587977425	-2.913410142178281	null
"GO:0044085"	"cellular component biogenesis"	-1.5472937734889711	6.409881579487881	7.295409794774138	0.7744104235969986	0.57379537	5.460640979528935	-3.3787542174909033	null
"GO:0048869"	"cellular developmental process"	-0.7052472780898222	6.013363119289078	2.9277297081409093	0.994191271568094	0.00500661	2.0176094237151814	3.0743526574198246	null
"GO:0051252"	"regulation of RNA metabolic process"	-0.8158198046527412	6.6136023127070125	11.661931561702271	1	-0	-6.167774005605382	2.6727659669213857	null
"GO:0070925"	"organelle assembly"	-0.7336742085243626	5.753533269193577	1.6095363325713028	0.7604065722926291	0.67412259	4.535187288677247	-3.814566369666732	null
"GO:0071840"	"cellular component organization or biogenesis"	-3.0177287669604316	6.7154197443154695	14.743070494315205	0.9927476202933012	0.00649845	-3.1557934619573693	0.7808269796296465	null
